CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
3200508,Apiacá,32,ES,479.5233009708736,495.4247706422019,508.72935779816527,510.5796116504853,521.2844036697247
3200607,Aracruz,32,ES,486.5535676251334,515.025310173697,524.1688833746906,541.3781150159743,583.1761786600496
3200706,Atílio Vivacqua,32,ES,468.00099009901,488.6648148148151,509.2537037037036,508.2059405940595,583.8888888888889
3200805,Baixo Guandu,32,ES,486.0648648648649,508.16323119777167,520.5557103064062,535.8753753753755,575.4317548746518
3200904,Barra de São Francisco,32,ES,472.7522801302933,501.5974842767295,517.0800314465406,525.8355048859931,557.5157232704403
3201001,Boa Esperança,32,ES,468.2839449541284,491.652192982456,508.85,518.4545871559632,533.859649122807
3201100,Bom Jesus do Norte,32,ES,484.1840909090908,507.28163265306137,523.8578231292519,528.9250000000001,573.469387755102
3201159,Brejetuba,32,ES,471.0988571428573,497.24677419354833,505.9193548387097,519.6702857142855,542.1505376344086
3201209,Cachoeiro de Itapemirim,32,ES,491.8445390487368,513.8688040144968,527.4585726233616,545.9136230182036,619.9275160301087
3201308,Cariacica,32,ES,475.6610610751465,508.2429522317914,522.0065126598814,520.3843231072327,555.9906029757243
3201407,Castelo,32,ES,496.7216058394161,514.6515449438197,524.1637640449444,555.0845255474451,607.0505617977528
3201506,Colatina,32,ES,496.8489965095986,523.9995489954897,532.3544895448945,554.7960732984294,613.7187371873719
3201605,Conceição da Barra,32,ES,453.8063047285464,479.4740259740255,499.1538961038961,490.1802101576184,519.8376623376623
3201704,Conceição do Castelo,32,ES,487.0841530054645,524.7005319148934,525.6074468085106,543.8950819672131,599.8936170212766
3201803,Divino de São Lourenço,32,ES,473.606557377049,505.44098360655744,511.0229508196721,516.8311475409836,549.8360655737705
3201902,Domingos Martins,32,ES,496.9134268537073,528.4144486692015,528.639163498099,567.3883767535076,601.3688212927757
3202009,Dores do Rio Preto,32,ES,466.8870588235293,503.1569767441863,504.513953488372,498.5929411764705,511.1627906976744
3202108,Ecoporanga,32,ES,464.2774725274725,489.5159793814431,501.2994845360823,514.145054945055,518.3505154639175
3202207,Fundão,32,ES,480.1101538461536,508.0934097421207,518.8203438395417,527.7107692307696,568.8825214899714
3202256,Governador Lindenberg,32,ES,482.109219858156,517.6832214765101,521.2906040268457,541.5333333333334,572.48322147651
3202306,Guaçuí,32,ES,490.1134387351778,517.4770554493306,525.321414913958,536.1217391304349,579.2734225621415
3202405,Guarapari,32,ES,484.9370317686111,514.6795505617982,527.5317752809007,537.1735419630155,586.8134831460674
3202454,Ibatiba,32,ES,512.9975757575761,531.9569405099153,533.4300283286125,568.178181818182,613.2577903682719
3202504,Ibiraçu,32,ES,483.590960451977,516.1287234042554,527.3526595744681,531.5033898305081,575.7446808510638
3202553,Ibitirama,32,ES,467.0605042016806,488.03196721311474,495.8057377049179,510.6630252100841,527.8688524590164
3202603,Iconha,32,ES,498.1692307692308,528.3457983193276,530.418907563025,565.0102564102564,658.3193277310925
3202652,Irupi,32,ES,491.33740458015245,510.82388059701486,515.9179104477611,539.5183206106869,570.0
3202702,Itaguaçu,32,ES,480.66075949367087,510.46190476190463,516.6696428571429,534.0227848101267,548.5714285714286
3202801,Itapemirim,32,ES,471.4803478260871,492.4144927536232,510.4872785829304,520.2241739130434,555.3301127214171
3202900,Itarana,32,ES,500.5255813953487,517.9224719101119,520.2370786516852,554.9470930232557,613.2584269662922
3203007,Iúna,32,ES,487.73243902439,516.0668235294121,521.6821176470586,542.588292682927,587.9529411764706
3203056,Jaguaré,32,ES,471.324607329843,491.99586374695866,507.0041362530414,515.155759162304,567.4452554744526
3203106,Jerônimo Monteiro,32,ES,483.46875000000006,508.8911330049264,517.0029556650244,518.1567708333332,589.6551724137931
3203130,João Neiva,32,ES,504.6440860215053,531.4552083333333,532.689930555555,572.1017921146953,634.0972222222222
3203163,Laranja da Terra,32,ES,465.6905405405406,507.6353333333335,516.2999999999998,525.560135135135,589.2
